# TODO: this is ps -ef output on your k40
# TODO: interpret what's going on

UID             PID   PPID C STIME TTY          TIME CMD
root            396      2 0 22:41:37 ?     00:00:00 [pp_event]
root            397      2 0 22:41:37 ?     00:00:00 [msm_vidc_worker]
root            398      2 0 22:41:37 ?     00:00:00 [pm_workerq_venu]
root            399      2 0 22:41:37 ?     00:00:00 [vidc_core_workq]
root            400      2 0 22:41:37 ?     00:00:00 [irq/259-arm-smm]
root            401      2 0 22:41:37 ?     00:00:00 [irq/260-arm-smm]
root            402      2 0 22:41:37 ?     00:00:00 [irq/261-arm-smm]
root            403      2 0 22:41:37 ?     00:00:00 [irq/262-arm-smm]
root            404      2 0 22:41:37 ?     00:00:00 [irq/263-arm-smm]
root            405      2 0 22:41:37 ?     00:00:00 [irq/264-arm-smm]
root            406      2 0 22:41:37 ?     00:00:00 [irq/265-arm-smm]
root            407      2 0 22:41:37 ?     00:00:00 [irq/266-arm-smm]
root            408      2 0 22:41:37 ?     00:00:00 [irq/267-arm-smm]
root            409      2 0 22:41:37 ?     00:00:00 [cam-cpas]
root            410      2 0 22:41:37 ?     00:00:00 [qcom,cam_virtua]
root            411      2 0 22:41:37 ?     00:00:00 [qcom,cam170-cpa]
root            412      2 0 22:41:37 ?     00:00:00 [cam_cci_wq]
root            413      2 0 22:41:37 ?     00:00:00 [cam_cci_wq]
root            414      2 0 22:41:37 ?     00:00:00 [cam_cci_wq]
root            415      2 0 22:41:37 ?     00:00:00 [cam_cci_wq]
root            416      2 0 22:41:37 ?     00:00:00 [ipv6_addrconf]
root            417      2 0 22:41:37 ?     00:00:00 [irq/330-smp2p]
root            418      2 0 22:41:37 ?     00:00:00 [irq/220-arm-smm]
root            419      2 0 22:41:37 ?     00:00:00 [irq/221-arm-smm]
root            420      2 0 22:41:37 ?     00:00:00 [kworker/0:2-events]
root            421      2 0 22:41:37 ?     00:00:00 [irq/222-arm-smm]
root            422      2 0 22:41:37 ?     00:00:00 [irq/223-arm-smm]
root            423      2 0 22:41:37 ?     00:00:00 [kgsl-events]
root            424      2 0 22:41:37 ?     00:00:00 [kgsl_devfreq_wq]
root            432      2 0 22:41:37 ?     00:00:00 [irq/470-chgr-er]
root            433      2 0 22:41:37 ?     00:00:00 [irq/471-chg-sta]
root            434      2 0 22:41:37 ?     00:00:00 [kworker/6:3-mm_percpu_wq]
root            435      2 0 22:41:37 ?     00:00:00 [irq/477-otg-fai]
root            436      2 0 22:41:37 ?     00:00:00 [irq/480-high-du]
root            437      2 0 22:41:37 ?     00:00:00 [irq/481-input-c]
root            438      2 0 22:41:37 ?     00:00:00 [irq/483-switche]
root            439      2 0 22:41:37 ?     00:00:00 [irq/484-bat-tem]
root            440      2 0 22:41:37 ?     00:00:00 [irq/485-bat-ov]
root            441      2 0 22:41:37 ?     00:00:00 [irq/486-bat-low]
root            443      2 0 22:41:37 ?     00:00:00 [irq/487-bat-the]
root            444      2 0 22:41:37 ?     00:00:00 [irq/488-bat-ter]
root            445      2 0 22:41:37 ?     00:00:00 [irq/491-usbin-c]
root            446      2 0 22:41:37 ?     00:00:00 [irq/492-usbin-v]
root            447      2 0 22:41:37 ?     00:00:00 [irq/493-usbin-u]
root            448      2 0 22:41:37 ?     00:00:00 [irq/494-usbin-o]
root            449      2 0 22:41:37 ?     00:00:00 [irq/495-usbin-p]
root            450      2 0 22:41:37 ?     00:00:00 [irq/497-usbin-s]
root            451      2 0 22:41:37 ?     00:00:00 [irq/498-usbin-i]
root            452      2 0 22:41:37 ?     00:00:00 [irq/500-dcin-uv]
root            453      2 0 22:41:37 ?     00:00:00 [irq/501-dcin-ov]
root            454      2 0 22:41:37 ?     00:00:00 [irq/502-dcin-pl]
root            455      2 0 22:41:37 ?     00:00:00 [irq/504-dcin-po]
root            456      2 0 22:41:37 ?     00:00:00 [irq/505-dcin-en]
root            457      2 0 22:41:37 ?     00:00:00 [irq/506-typec-o]
root            458      2 0 22:41:37 ?     00:00:00 [irq/508-typec-c]
root            459      2 0 22:41:37 ?     00:00:00 [irq/509-typec-v]
root            460      2 0 22:41:37 ?     00:00:00 [irq/511-typec-a]
root            461      2 0 22:41:37 ?     00:00:00 [irq/512-typec-l]
root            462      2 0 22:41:37 ?     00:00:00 [irq/514-wdog-sn]
root            463      2 0 22:41:37 ?     00:00:00 [irq/515-wdog-ba]
root            464      2 0 22:41:37 ?     00:00:00 [irq/517-aicl-do]
root            465      2 0 22:41:37 ?     00:00:00 [irq/518-smb-en]
root            466      2 0 22:41:37 ?     00:00:00 [irq/519-temp-ch]
root            467      2 0 22:41:37 ?     00:00:00 [irq/31-qcom,tem]
root            468      2 0 22:41:37 ?     00:00:00 [irq/43-qcom,tem]
root            469      2 0 22:41:37 ?     00:00:00 [irq/67-qcom,tem]
root            470      2 0 22:41:37 ?     00:00:00 [irq/40-thr-int-]
root            471      2 0 22:41:37 ?     00:00:00 [irq/64-thr-int-]
root            472      2 0 22:41:37 ?     00:00:00 [irq/81-thr-int-]
root            478      2 0 22:41:37 ?     00:00:00 [kworker/6:5-sock_diag_events]
root            479      2 0 22:41:37 ?     00:00:00 [irq/47-sig-tx]
root            480      2 0 22:41:37 ?     00:00:00 [irq/48-sig-rx]
root            481      2 0 22:41:37 ?     00:00:00 [irq/332-pwr_eve]
root            482      2 0 22:41:37 ?     00:00:00 [irq/331-dp_hs_p]
root            483      2 0 22:41:37 ?     00:00:00 [irq/334-dm_hs_p]
root            484      2 0 22:41:37 ?     00:00:00 [irq/333-ss_phy_]
root            485      2 0 22:41:37 ?     00:00:00 [usb_bam_wq]
root            486      2 0 22:41:37 ?     00:00:00 [core_ctl/0]
root            487      2 0 22:41:37 ?     00:00:00 [core_ctl/4]
root            488      2 0 22:41:37 ?     00:00:00 [core_ctl/7]
root            489      2 0 22:41:37 ?     00:00:00 [rq_stats]
root            490      2 0 22:41:37 ?     00:00:00 [msm_perf:events]
